id,imdb_id,original_title,release_date,runtime,revenue,action,adventure,animation,comedy,crime,documentary,drama,family,fantasy,history,horror,music,mystery,romance,science fiction,tv movie,thriller,war,western,qtd_genres,day,month,year,day_of_week
2.0,tt0094675,Ariel,1988-10-21,73.0,0.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,21,10,1988,Friday
3.0,tt0092149,Varjoja paratiisissa,1986-10-17,74.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,17,10,1986,Friday
5.0,tt0113101,Four Rooms,1995-12-09,98.0,4257354.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,12,1995,Saturday
6.0,tt0107286,Judgment Night,1993-10-15,110.0,12136938.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,15,10,1993,Friday
8.0,tt0825671,Life in Loops (A Megacities RMX),2006-01-01,80.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2006,Sunday
9.0,tt0425473,Sonntag im August,2004-09-02,15.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,2004,Thursday
11.0,tt0076759,Star Wars,1977-05-25,121.0,775398007.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,25,5,1977,Wednesday
12.0,tt0266543,Finding Nemo,2003-05-30,100.0,940335536.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,30,5,2003,Friday
13.0,tt0109830,Forrest Gump,1994-06-23,142.0,677387716.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,23,6,1994,Thursday
14.0,tt0169547,American Beauty,1999-09-15,122.0,356296601.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15,9,1999,Wednesday
15.0,tt0033467,Citizen Kane,1941-04-17,119.0,23218000.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,17,4,1941,Thursday
16.0,tt0168629,Dancer in the Dark,2000-06-30,141.0,40031879.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,30,6,2000,Friday
17.0,tt0411267,The Dark,2005-09-28,87.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,3,28,9,2005,Wednesday
18.0,tt0119116,The Fifth Element,1997-05-02,126.0,263920180.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,5,2,5,1997,Friday
19.0,tt0017136,Metropolis,1927-02-06,149.0,650422.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,6,2,1927,Sunday
20.0,tt0314412,My Life Without Me,2003-03-07,106.0,12300000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,7,3,2003,Friday
21.0,tt0060371,The Endless Summer,1966-06-15,91.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,6,1966,Wednesday
22.0,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,143.0,655011224.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,9,7,2003,Wednesday
24.0,tt0266697,Kill Bill: Vol. 1,2003-10-10,111.0,180906076.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,10,2003,Friday
